CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
365915324,01/01/2010,00:01:00,03/16/2010,18:00:00,40,03/26/2010,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,BRONX,INSIDE,FACTORY/WAREHOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,009,753","231,654",45-64,BLACK,M,,40.802484091,-73.907884464,"(40.802484091, -73.907884464)",PATROL BORO BRONX,,,UNKNOWN,D
288757607,01/01/2010,18:30:00,01/01/2010,18:40:00,52,01/01/2010,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,012,887","253,829",,BLACK,M,,40.863338448,-73.896469785,"(40.863338448, -73.896469785)",PATROL BORO BRONX,,18-24,BLACK,F
947663990,01/01/2010,06:45:00,01/08/2010,15:30:00,110,01/08/2010,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,QUEENS,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,020,037","209,248",,,,,40.740949861,-73.870857953,"(40.740949861, -73.870857953)",PATROL BORO QUEENS NORTH,,45-64,WHITE,M
574558706,01/01/2010,12:50:00,,,120,01/01/2010,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"942,860","169,157",25-44,WHITE HISPANIC,F,,40.630884936,-74.149118002,"(40.630884936, -74.149118002)",PATROL BORO STATEN ISLAND,,25-44,WHITE HISPANIC,M
577986662,01/01/2010,12:30:00,01/01/2010,12:30:00,9,01/01/2010,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESTAURANT/DINER,N.Y. POLICE DEPT,0,NA,,NA,"988,631","204,190",,,,,40.727138212,-73.984195143,"(40.727138212, -73.984195143)",PATROL BORO MAN SOUTH,,18-24,WHITE,F
448167872,01/01/2010,22:20:00,01/01/2010,22:42:00,67,01/01/2010,678,MISCELLANEOUS PENAL LAW,566,"MARIJUANA, POSSESSION",COMPLETED,VIOLATION,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,007,039","177,674",,,,,40.654329656,-73.917870243,"(40.654329656, -73.917870243)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,E
756174970,01/01/2010,04:00:00,01/01/2010,04:15:00,110,01/04/2010,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,QUEENS,,BANK,N.Y. POLICE DEPT,0,NA,,NA,"1,016,463","211,294",,WHITE HISPANIC,U,,40.746579356,-73.883745528,"(40.746579356, -73.883745528)",PATROL BORO QUEENS NORTH,,45-64,WHITE HISPANIC,M
352438223,01/01/2010,06:45:00,01/03/2010,14:00:00,81,01/04/2010,353,UNAUTHORIZED USE OF A VEHICLE,462,UNAUTHORIZED USE VEHICLE 3,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"1,003,614","186,315",,BLACK,M,,40.67805543,-73.930189066,"(40.67805543, -73.930189066)",PATROL BORO BKLYN NORTH,,45-64,BLACK,F
109209913,01/01/2010,09:00:00,03/25/2010,10:00:00,49,03/25/2010,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,021,397","251,011",,,,,40.855572186,-73.865719147,"(40.855572186, -73.865719147)",PATROL BORO BRONX,,45-64,WHITE HISPANIC,M
461023310,01/01/2010,12:00:00,09/27/2011,12:40:00,63,09/27/2011,104,RAPE,155,RAPE 2,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,000,448","168,068",,,,,40.627977755,-73.941647157,"(40.627977755, -73.941647157)",PATROL BORO BKLYN SOUTH,,<18,BLACK,F
230624218,01/01/2010,12:00:00,03/01/2011,12:00:00,109,03/22/2011,340,FRAUDS,718,"FRAUD,UNCLASSIFIED-MISDEMEANOR",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,030,749","211,341",,UNKNOWN,U,,40.746644781,-73.832187488,"(40.746644781, -73.832187488)",PATROL BORO QUEENS NORTH,,25-44,ASIAN / PACIFIC ISLANDER,F
601976955,01/01/2010,18:54:00,,,62,01/01/2010,102,HOMICIDE-NEGLIGENT-VEHICLE,122,"HOMICIDE, NEGLIGENT, VEHICLE,",COMPLETED,FELONY,BROOKLYN,,STREET,N.Y. POLICE DEPT,0,NA,,NA,"989,753","161,747",,,,,40.61064102,-73.980181696,"(40.61064102, -73.980181696)",PATROL BORO BKLYN SOUTH,,,UNKNOWN,M
826192943,01/01/2010,00:40:00,01/01/2010,01:00:00,94,01/01/2010,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"997,313","204,100",,,,,40.726882624,-73.952871348,"(40.726882624, -73.952871348)",PATROL BORO BKLYN NORTH,,18-24,WHITE,F
114214455,01/01/2010,16:00:00,01/02/2010,12:00:00,61,01/02/2010,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,PARKING LOT/GARAGE (PUBLIC),N.Y. POLICE DEPT,0,NA,,NA,"1,001,697","154,576",,,,,40.590942615,-73.937182415,"(40.590942615, -73.937182415)",PATROL BORO BKLYN SOUTH,,45-64,WHITE,M
601696455,01/01/2010,16:50:00,,,44,01/01/2010,678,MISCELLANEOUS PENAL LAW,566,"MARIJUANA, POSSESSION",COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,"1,003,350","242,919",,,,,40.833419507,-73.930980069,"(40.833419507, -73.930980069)",PATROL BORO BRONX,,,UNKNOWN,E
393424409,01/01/2010,21:25:00,,,24,01/01/2010,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,"993,119","226,988",,BLACK HISPANIC,F,,40.789709538,-73.967972723,"(40.789709538, -73.967972723)",PATROL BORO MAN NORTH,,45-64,WHITE HISPANIC,M
